# DerivedCombiningClass-15.0.0.txt
# Date: 2022-04-26, 23:14:29 GMT
# © 2022 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use, see https://www.unicode.org/terms_of_use.html
#
# Unicode Character Database
#   For documentation, see https://www.unicode.org/reports/tr44/

# ================================================

# Combining Class (listing UnicodeData.txt, field 3: see UAX #44: https://www.unicode.org/reports/tr44/)

#  All code points not explicitly listed for Canonical_Combining_Class
#  have the value Not_Reordered (0).

# @missing: 0000..10FFFF; Not_Reordered

# ================================================

# Canonical_Combining_Class=Not_Reordered

AA5C..AA5F    ; 0 # Po   [4] CHAM PUNCTUATION SPIRAL..CHAM PUNCTUATION TRIPLE DANDA
AA60..AA6F    ; 0 # Lo  [16] MYANMAR LETTER KHAMTI GA..MYANMAR LETTER KHAMTI FA
AA70          ; 0 # Lm       MYANMAR MODIFIER LETTER KHAMTI REDUPLICATION
AA71..AA76    ; 0 # Lo   [6] MYANMAR LETTER KHAMTI XA..MYANMAR LOGOGRAM KHAMTI HM
AA77..AA79    ; 0 # So   [3] MYANMAR SYMBOL AITON EXCLAMATION..MYANMAR SYMBOL AITON TWO
AA7A          ; 0 # Lo       MYANMAR LETTER AITON RA
AA7B          ; 0 # Mc       MYANMAR SIGN PAO KAREN TONE
AA7C          ; 0 # Mn       MYANMAR SIGN TAI LAING TONE-2
AA7D          ; 0 # Mc       MYANMAR SIGN TAI LAING TONE-5
AA7E..AAAF    ; 0 # Lo  [50] MYANMAR LETTER SHWE PALAUNG CHA..TAI VIET LETTER HIGH O
AAB1          ; 0 # Lo       TAI VIET VOWEL AA
AAB5..AAB6    ; 0 # Lo   [2] TAI VIET VOWEL E..TAI VIET VOWEL O
AAB9..AABD    ; 0 # Lo   [5] TAI VIET VOWEL UEA..TAI VIET VOWEL AN
AAC0          ; 0 # Lo       TAI VIET TONE MAI NUENG
AAC2          ; 0 # Lo       TAI VIET TONE MAI SONG
AADB..AADC    ; 0 # Lo   [2] TAI VIET SYMBOL KON..TAI VIET SYMBOL NUENG
AADD          ; 0 # Lm       TAI VIET SYMBOL SAM
AADE..AADF    ; 0 # Po   [2] TAI VIET SYMBOL HO HOI..TAI VIET SYMBOL KOI KOI
AAE0..AAEA    ; 0 # Lo  [11] MEETEI MAYEK LETTER E..MEETEI MAYEK LETTER SSA
AAEB          ; 0 # Mc       MEETEI MAYEK VOWEL SIGN II
AAEC..AAED    ; 0 # Mn   [2] MEETEI MAYEK VOWEL SIGN UU..MEETEI MAYEK VOWEL SIGN AAI
AAEE..AAEF    ; 0 # Mc   [2] MEETEI MAYEK VOWEL SIGN AU..MEETEI MAYEK VOWEL SIGN AAU
AAF0..AAF1    ; 0 # Po   [2] MEETEI MAYEK CHEIKHAN..MEETEI MAYEK AHANG KHUDAM
AAF2          ; 0 # Lo       MEETEI MAYEK ANJI
AAF3..AAF4    ; 0 # Lm   [2] MEETEI MAYEK SYLLABLE REPETITION MARK..MEETEI MAYEK WORD REPETITION MARK
AAF5          ; 0 # Mc       MEETEI MAYEK VOWEL SIGN VISARGA
AB01..AB06    ; 0 # Lo   [6] ETHIOPIC SYLLABLE TTHU..ETHIOPIC SYLLABLE TTHO
AB09..AB0E    ; 0 # Lo   [6] ETHIOPIC SYLLABLE DDHU..ETHIOPIC SYLLABLE DDHO
AB11..AB16    ; 0 # Lo   [6] ETHIOPIC SYLLABLE DZU..ETHIOPIC SYLLABLE DZO
AB20..AB26    ; 0 # Lo   [7] ETHIOPIC SYLLABLE CCHHA..ETHIOPIC SYLLABLE CCHHO
AB28..AB2E    ; 0 # Lo   [7] ETHIOPIC SYLLABLE BBA..ETHIOPIC SYLLABLE BBO
AB30..AB5A    ; 0 # L&  [43] LATIN SMALL LETTER BARRED ALPHA..LATIN SMALL LETTER Y WITH SHORT RIGHT LEG
AB5B          ; 0 # Sk       MODIFIER BREVE WITH INVERTED BREVE
AB5C..AB5F    ; 0 # Lm   [4] MODIFIER LETTER SMALL HENG..MODIFIER LETTER SMALL U WITH LEFT HOOK
AB60..AB68    ; 0 # L&   [9] LATIN SMALL LETTER SAKHA YAT..LATIN SMALL LETTER TURNED R WITH MIDDLE TILDE
AB69          ; 0 # Lm       MODIFIER LETTER SMALL TURNED W
AB6A..AB6B    ; 0 # Sk   [2] MODIFIER LETTER LEFT TACK..MODIFIER LETTER RIGHT TACK
AB70..ABBF    ; 0 # L&  [80] CHEROKEE SMALL LETTER A..CHEROKEE SMALL LETTER YA
ABC0..ABE2    ; 0 # Lo  [35] MEETEI MAYEK LETTER KOK..MEETEI MAYEK LETTER I LONSUM
ABE3..ABE4    ; 0 # Mc   [2] MEETEI MAYEK VOWEL SIGN ONAP..MEETEI MAYEK VOWEL SIGN INAP
ABE5          ; 0 # Mn       MEETEI MAYEK VOWEL SIGN ANAP
ABE6..ABE7    ; 0 # Mc   [2] MEETEI MAYEK VOWEL SIGN YENAP..MEETEI MAYEK VOWEL SIGN SOUNAP
ABE8          ; 0 # Mn       MEETEI MAYEK VOWEL SIGN UNAP
ABE9..ABEA    ; 0 # Mc   [2] MEETEI MAYEK VOWEL SIGN CHEINAP..MEETEI MAYEK VOWEL SIGN NUNG
ABEB          ; 0 # Po       MEETEI MAYEK CHEIKHEI
ABEC          ; 0 # Mc       MEETEI MAYEK LUM IYEK
ABF0..ABF9    ; 0 # Nd  [10] MEETEI MAYEK DIGIT ZERO..MEETEI MAYEK DIGIT NINE
AC00..D7A3    ; 0 # Lo [11172] HANGUL SYLLABLE GA..HANGUL SYLLABLE HIH
D7B0..D7C6    ; 0 # Lo  [23] HANGUL JUNGSEONG O-YEO..HANGUL JUNGSEONG ARAEA-E
D7CB..D7FB    ; 0 # Lo  [49] HANGUL JONGSEONG NIEUN-RIEUL..HANGUL JONGSEONG PHIEUPH-THIEUTH
E000..F8FF    ; 0 # Co [6400] <private-use-E000>..<private-use-F8FF>
F900..FA6D    ; 0 # Lo [366] CJK COMPATIBILITY IDEOGRAPH-F900..CJK COMPATIBILITY IDEOGRAPH-FA6D
FA70..FAD9    ; 0 # Lo [106] CJK COMPATIBILITY IDEOGRAPH-FA70..CJK COMPATIBILITY IDEOGRAPH-FAD9
FB00..FB06    ; 0 # L&   [7] LATIN SMALL LIGATURE FF..LATIN SMALL LIGATURE ST
FB13..FB17    ; 0 # L&   [5] ARMENIAN SMALL LIGATURE MEN NOW..ARMENIAN SMALL LIGATURE MEN XEH
FB1D          ; 0 # Lo       HEBREW LETTER YOD WITH HIRIQ
FB1F..FB28    ; 0 # Lo  [10] HEBREW LIGATURE YIDDISH YOD YOD PATAH..HEBREW LETTER WIDE TAV
FB29          ; 0 # Sm       HEBREW LETTER ALTERNATIVE PLUS SIGN
FB2A..FB36    ; 0 # Lo  [13] HEBREW LETTER SHIN WITH SHIN DOT..HEBREW LETTER ZAYIN WITH DAGESH
FB38..FB3C    ; 0 # Lo   [5] HEBREW LETTER TET WITH DAGESH..HEBREW LETTER LAMED WITH DAGESH
FB3E          ; 0 # Lo       HEBREW LETTER MEM WITH DAGESH
FB40..FB41    ; 0 # Lo   [2] HEBREW LETTER NUN WITH DAGESH..HEBREW LETTER SAMEKH WITH DAGESH
FB43..FB44    ; 0 # Lo   [2] HEBREW LETTER FINAL PE WITH DAGESH..HEBREW LETTER PE WITH DAGESH
FB46..FBB1    ; 0 # Lo [108] HEBREW LETTER TSADI WITH DAGESH..ARABIC LETTER YEH BARREE WITH HAMZA ABOVE FINAL FORM
FBB2..FBC2    ; 0 # Sk  [17] ARABIC SYMBOL DOT ABOVE..ARABIC SYMBOL WASLA ABOVE
FBD3..FD3D    ; 0 # Lo [363] ARABIC LETTER NG ISOLATED FORM..ARABIC LIGATURE ALEF WITH FATHATAN ISOLATED FORM
FD3E          ; 0 # Pe       ORNATE LEFT PARENTHESIS
FD3F          ; 0 # Ps       ORNATE RIGHT PARENTHESIS
FD40..FD4F    ; 0 # So  [16] ARABIC LIGATURE RAHIMAHU ALLAAH..ARABIC LIGATURE RAHIMAHUM ALLAAH
FD50..FD8F    ; 0 # Lo  [64] ARABIC LIGATURE TEH WITH JEEM WITH MEEM INITIAL FORM..ARABIC LIGATURE MEEM WITH KHAH WITH MEEM INITIAL FORM
FD92..FDC7    ; 0 # Lo  [54] ARABIC LIGATURE MEEM WITH JEEM WITH KHAH INITIAL FORM..ARABIC LIGATURE NOON WITH JEEM WITH YEH FINAL FORM
FDCF          ; 0 # So       ARABIC LIGATURE SALAAMUHU ALAYNAA
FDF0..FDFB    ; 0 # Lo  [12] ARABIC LIGATURE SALLA USED AS KORANIC STOP SIGN ISOLATED FORM..ARABIC LIGATURE JALLAJALALOUHOU
FDFC          ; 0 # Sc       RIAL SIGN
FDFD..FDFF    ; 0 # So   [3] ARABIC LIGATURE BISMILLAH AR-RAHMAN AR-RAHEEM..ARABIC LIGATURE AZZA WA JALL
FE00..FE0F    ; 0 # Mn  [16] VARIATION SELECTOR-1..VARIATION SELECTOR-16
FE10..FE16    ; 0 # Po   [7] PRESENTATION FORM FOR VERTICAL COMMA..PRESENTATION FORM FOR VERTICAL QUESTION MARK
FE17          ; 0 # Ps       PRESENTATION FORM FOR VERTICAL LEFT WHITE LENTICULAR BRACKET
FE18          ; 0 # Pe       PRESENTATION FORM FOR VERTICAL RIGHT WHITE LENTICULAR BRAKCET
FE19          ; 0 # Po       PRESENTATION FORM FOR VERTICAL HORIZONTAL ELLIPSIS
FE30          ; 0 # Po       PRESENTATION FORM FOR VERTICAL TWO DOT LEADER
FE31..FE32    ; 0 # Pd   [2] PRESENTATION FORM FOR VERTICAL EM DASH..PRESENTATION FORM FOR VERTICAL EN DASH
FE33..FE34    ; 0 # Pc   [2] PRESENTATION FORM FOR VERTICAL LOW LINE..PRESENTATION FORM FOR VERTICAL WAVY LOW LINE
FE35          ; 0 # Ps       PRESENTATION FORM FOR VERTICAL LEFT PARENTHESIS
FE36          ; 0 # Pe       PRESENTATION FORM FOR VERTICAL RIGHT PARENTHESIS
FE37          ; 0 # Ps       PRESENTATION FORM FOR VERTICAL LEFT CURLY BRACKET
FE38          ; 0 # Pe       PRESENTATION FORM FOR VERTICAL RIGHT CURLY BRACKET
FE39          ; 0 # Ps       PRESENTATION FORM FOR VERTICAL LEFT TORTOISE SHELL BRACKET
FE3A          ; 0 # Pe       PRESENTATION FORM FOR VERTICAL RIGHT TORTOISE SHELL BRACKET
FE3B          ; 0 # Ps       PRESENTATION FORM FOR VERTICAL LEFT BLACK LENTICULAR BRACKET
FE3C          ; 0 # Pe       PRESENTATION FORM FOR VERTICAL RIGHT BLACK LENTICULAR BRACKET
FE3D          ; 0 # Ps       PRESENTATION FORM FOR VERTICAL LEFT DOUBLE ANGLE BRACKET
FE3E          ; 0 # Pe       PRESENTATION FORM FOR VERTICAL RIGHT DOUBLE ANGLE BRACKET
FE3F          ; 0 # Ps       PRESENTATION FORM FOR VERTICAL LEFT ANGLE BRACKET
FE40          ; 0 # Pe       PRESENTATION FORM FOR VERTICAL RIGHT ANGLE BRACKET
FE41          ; 0 # Ps       PRESENTATION FORM FOR VERTICAL LEFT CORNER BRACKET
FE42          ; 0 # Pe       PRESENTATION FORM FOR VERTICAL RIGHT CORNER BRACKET
FE43          ; 0 # Ps       PRESENTATION FORM FOR VERTICAL LEFT WHITE CORNER BRACKET
FE44          ; 0 # Pe       PRESENTATION FORM FOR VERTICAL RIGHT WHITE CORNER BRACKET
FE45..FE46    ; 0 # Po   [2] SESAME DOT..WHITE SESAME DOT
FE47          ; 0 # Ps       PRESENTATION FORM FOR VERTICAL LEFT SQUARE BRACKET
FE48          ; 0 # Pe       PRESENTATION FORM FOR VERTICAL RIGHT SQUARE BRACKET
FE49..FE4C    ; 0 # Po   [4] DASHED OVERLINE..DOUBLE WAVY OVERLINE
FE4D..FE4F    ; 0 # Pc   [3] DASHED LOW LINE..WAVY LOW LINE
FE50..FE52    ; 0 # Po   [3] SMALL COMMA..SMALL FULL STOP
FE54..FE57    ; 0 # Po   [4] SMALL SEMICOLON..SMALL EXCLAMATION MARK
FE58          ; 0 # Pd       SMALL EM DASH
FE59          ; 0 # Ps       SMALL LEFT PARENTHESIS
FE5A          ; 0 # Pe       SMALL RIGHT PARENTHESIS
FE5B          ; 0 # Ps       SMALL LEFT CURLY BRACKET
FE5C          ; 0 # Pe       SMALL RIGHT CURLY BRACKET
FE5D          ; 0 # Ps       SMALL LEFT TORTOISE SHELL BRACKET
FE5E          ; 0 # Pe       SMALL RIGHT TORTOISE SHELL BRACKET
FE5F..FE61    ; 0 # Po   [3] SMALL NUMBER SIGN..SMALL ASTERISK
FE62          ; 0 # Sm       SMALL PLUS SIGN
FE63          ; 0 # Pd       SMALL HYPHEN-MINUS
FE64..FE66    ; 0 # Sm   [3] SMALL LESS-THAN SIGN..SMALL EQUALS SIGN
FE68          ; 0 # Po       SMALL REVERSE SOLIDUS
FE69          ; 0 # Sc       SMALL DOLLAR SIGN
FE6A..FE6B    ; 0 # Po   [2] SMALL PERCENT SIGN..SMALL COMMERCIAL AT
FE70..FE74    ; 0 # Lo   [5] ARABIC FATHATAN ISOLATED FORM..ARABIC KASRATAN ISOLATED FORM
FE76..FEFC    ; 0 # Lo [135] ARABIC FATHA ISOLATED FORM..ARABIC LIGATURE LAM WITH ALEF FINAL FORM
FEFF          ; 0 # Cf       ZERO WIDTH NO-BREAK SPACE
FF01..FF03    ; 0 # Po   [3] FULLWIDTH EXCLAMATION MARK..FULLWIDTH NUMBER SIGN
FF04          ; 0 # Sc       FULLWIDTH DOLLAR SIGN
FF05..FF07    ; 0 # Po   [3] FULLWIDTH PERCENT SIGN..FULLWIDTH APOSTROPHE
FF08          ; 0 # Ps       FULLWIDTH LEFT PARENTHESIS
FF09          ; 0 # Pe       FULLWIDTH RIGHT PARENTHESIS
FF0A          ; 0 # Po       FULLWIDTH ASTERISK
FF0B          ; 0 # Sm       FULLWIDTH PLUS SIGN
FF0C          ; 0 # Po       FULLWIDTH COMMA
FF0D          ; 0 # Pd       FULLWIDTH HYPHEN-MINUS
FF0E..FF0F    ; 0 # Po   [2] FULLWIDTH FULL STOP..FULLWIDTH SOLIDUS
FF10..FF19    ; 0 # Nd  [10] FULLWIDTH DIGIT ZERO..FULLWIDTH DIGIT NINE
FF1A..FF1B    ; 0 # Po   [2] FULLWIDTH COLON..FULLWIDTH SEMICOLON
FF1C..FF1E    ; 0 # Sm   [3] FULLWIDTH LESS-THAN SIGN..FULLWIDTH GREATER-THAN SIGN
FF1F..FF20    ; 0 # Po   [2] FULLWIDTH QUESTION MARK..FULLWIDTH COMMERCIAL AT
FF21..FF3A    ; 0 # L&  [26] FULLWIDTH LATIN CAPITAL LETTER A..FULLWIDTH LATIN CAPITAL LETTER Z
FF3B          ; 0 # Ps       FULLWIDTH LEFT SQUARE BRACKET
FF3C          ; 0 # Po       FULLWIDTH REVERSE SOLIDUS
FF3D          ; 0 # Pe       FULLWIDTH RIGHT SQUARE BRACKET
FF3E          ; 0 # Sk       FULLWIDTH CIRCUMFLEX ACCENT
FF3F          ; 0 # Pc       FULLWIDTH LOW LINE
FF40          ; 0 # Sk       FULLWIDTH GRAVE ACCENT
FF41..FF5A    ; 0 # L&  [26] FULLWIDTH LATIN SMALL LETTER A..FULLWIDTH LATIN SMALL LETTER Z
FF5B          ; 0 # Ps       FULLWIDTH LEFT CURLY BRACKET
FF5C          ; 0 # Sm       FULLWIDTH VERTICAL LINE
FF5D          ; 0 # Pe       FULLWIDTH RIGHT CURLY BRACKET
FF5E          ; 0 # Sm       FULLWIDTH TILDE
FF5F          ; 0 # Ps       FULLWIDTH LEFT WHITE PARENTHESIS
FF60          ; 0 # Pe       FULLWIDTH RIGHT WHITE PARENTHESIS
FF61          ; 0 # Po       HALFWIDTH IDEOGRAPHIC FULL STOP
FF62          ; 0 # Ps       HALFWIDTH LEFT CORNER BRACKET
FF63          ; 0 # Pe       HALFWIDTH RIGHT CORNER BRACKET
FF64..FF65    ; 0 # Po   [2] HALFWIDTH IDEOGRAPHIC COMMA..HALFWIDTH KATAKANA MIDDLE DOT
FF66..FF6F    ; 0 # Lo  [10] HALFWIDTH KATAKANA LETTER WO..HALFWIDTH KATAKANA LETTER SMALL TU
FF70          ; 0 # Lm       HALFWIDTH KATAKANA-HIRAGANA PROLONGED SOUND MARK
FF71..FF9D    ; 0 # Lo  [45] HALFWIDTH KATAKANA LETTER A..HALFWIDTH KATAKANA LETTER N
FF9E..FF9F    ; 0 # Lm   [2] HALFWIDTH KATAKANA VOICED SOUND MARK..HALFWIDTH KATAKANA SEMI-VOICED SOUND MARK
FFA0..FFBE    ; 0 # Lo  [31] HALFWIDTH HANGUL FILLER..HALFWIDTH HANGUL LETTER HIEUH
FFC2..FFC7    ; 0 # Lo   [6] HALFWIDTH HANGUL LETTER A..HALFWIDTH HANGUL LETTER E
FFCA..FFCF    ; 0 # Lo   [6] HALFWIDTH HANGUL LETTER YEO..HALFWIDTH HANGUL LETTER OE
FFD2..FFD7    ; 0 # Lo   [6] HALFWIDTH HANGUL LETTER YO..HALFWIDTH HANGUL LETTER YU
FFDA..FFDC    ; 0 # Lo   [3] HALFWIDTH HANGUL LETTER EU..HALFWIDTH HANGUL LETTER I
FFE0..FFE1    ; 0 # Sc   [2] FULLWIDTH CENT SIGN..FULLWIDTH POUND SIGN
FFE2          ; 0 # Sm       FULLWIDTH NOT SIGN
FFE3          ; 0 # Sk       FULLWIDTH MACRON
FFE4          ; 0 # So       FULLWIDTH BROKEN BAR
FFE5..FFE6    ; 0 # Sc   [2] FULLWIDTH YEN SIGN..FULLWIDTH WON SIGN
FFE8          ; 0 # So       HALFWIDTH FORMS LIGHT VERTICAL
FFE9..FFEC    ; 0 # Sm   [4] HALFWIDTH LEFTWARDS ARROW..HALFWIDTH DOWNWARDS ARROW
FFED..FFEE    ; 0 # So   [2] HALFWIDTH BLACK SQUARE..HALFWIDTH WHITE CIRCLE
FFF9..FFFB    ; 0 # Cf   [3] INTERLINEAR ANNOTATION ANCHOR..INTERLINEAR ANNOTATION TERMINATOR
FFFC..FFFD    ; 0 # So   [2] OBJECT REPLACEMENT CHARACTER..REPLACEMENT CHARACTER
10000..1000B  ; 0 # Lo  [12] LINEAR B SYLLABLE B008 A..LINEAR B SYLLABLE B046 JE
1000D..10026  ; 0 # Lo  [26] LINEAR B SYLLABLE B036 JO..LINEAR B SYLLABLE B032 QO
10028..1003A  ; 0 # Lo  [19] LINEAR B SYLLABLE B060 RA..LINEAR B SYLLABLE B042 WO
1003C..1003D  ; 0 # Lo   [2] LINEAR B SYLLABLE B017 ZA..LINEAR B SYLLABLE B074 ZE
1003F..1004D  ; 0 # Lo  [15] LINEAR B SYLLABLE B020 ZO..LINEAR B SYLLABLE B091 TWO
10050..1005D  ; 0 # Lo  [14] LINEAR B SYMBOL B018..LINEAR B SYMBOL B089
10080..100FA  ; 0 # Lo [123] LINEAR B IDEOGRAM B100 MAN..LINEAR B IDEOGRAM VESSEL B305
10100..10102  ; 0 # Po   [3] AEGEAN WORD SEPARATOR LINE..AEGEAN CHECK MARK
10107..10133  ; 0 # No  [45] AEGEAN NUMBER ONE..AEGEAN NUMBER NINETY THOUSAND
10137..1013F  ; 0 # So   [9] AEGEAN WEIGHT BASE UNIT..AEGEAN MEASURE THIRD SUBUNIT
10140..10174  ; 0 # Nl  [53] GREEK ACROPHONIC ATTIC ONE QUARTER..GREEK ACROPHONIC STRATIAN FIFTY MNAS
10175..10178  ; 0 # No   [4] GREEK ONE HALF SIGN..GREEK THREE QUARTERS SIGN
10179..10189  ; 0 # So  [17] GREEK YEAR SIGN..GREEK TRYBLION BASE SIGN
1018A..1018B  ; 0 # No   [2] GREEK ZERO SIGN..GREEK ONE QUARTER SIGN
1018C..1018E  ; 0 # So   [3] GREEK SINUSOID SIGN..NOMISMA SIGN
10190..1019C  ; 0 # So  [13] ROMAN SEXTANS SIGN..ASCIA SYMBOL
101A0         ; 0 # So       GREEK SYMBOL TAU RHO
101D0..101FC  ; 0 # So  [45] PHAISTOS DISC SIGN PEDESTRIAN..PHAISTOS DISC SIGN WAVY BAND
10280..1029C  ; 0 # Lo  [29] LYCIAN LETTER A..LYCIAN LETTER X
102A0..102D0  ; 0 # Lo  [49] CARIAN LETTER A..CARIAN LETTER UUU3
102E1..102FB  ; 0 # No  [27] COPTIC EPACT DIGIT ONE..COPTIC EPACT NUMBER NINE HUNDRED
10300..1031F  ; 0 # Lo  [32] OLD ITALIC LETTER A..OLD ITALIC LETTER ESS
10320..10323  ; 0 # No   [4] OLD ITALIC NUMERAL ONE..OLD ITALIC NUMERAL FIFTY
1032D..10340  ; 0 # Lo  [20] OLD ITALIC LETTER YE..GOTHIC LETTER PAIRTHRA
10341         ; 0 # Nl       GOTHIC LETTER NINETY
10342..10349  ; 0 # Lo   [8] GOTHIC LETTER RAIDA..GOTHIC LETTER OTHAL
1034A         ; 0 # Nl       GOTHIC LETTER NINE HUNDRED
10350..10375  ; 0 # Lo  [38] OLD PERMIC LETTER AN..OLD PERMIC LETTER IA
10380..1039D  ; 0 # Lo  [30] UGARITIC LETTER ALPA..UGARITIC LETTER SSU
1039F         ; 0 # Po       UGARITIC WORD DIVIDER
103A0..103C3  ; 0 # Lo  [36] OLD PERSIAN SIGN A..OLD PERSIAN SIGN HA
103C8..103CF  ; 0 # Lo   [8] OLD PERSIAN SIGN AURAMAZDAA..OLD PERSIAN SIGN BUUMISH
103D0         ; 0 # Po       OLD PERSIAN WORD DIVIDER
103D1..103D5  ; 0 # Nl   [5] OLD PERSIAN NUMBER ONE..OLD PERSIAN NUMBER HUNDRED
10400..1044F  ; 0 # L&  [80] DESERET CAPITAL LETTER LONG I..DESERET SMALL LETTER EW
10450..1049D  ; 0 # Lo  [78] SHAVIAN LETTER PEEP..OSMANYA LETTER OO
104A0..104A9  ; 0 # Nd  [10] OSMANYA DIGIT ZERO..OSMANYA DIGIT NINE
104B0..104D3  ; 0 # L&  [36] OSAGE CAPITAL LETTER A..OSAGE CAPITAL LETTER ZHA
104D8..104FB  ; 0 # L&  [36] OSAGE SMALL LETTER A..OSAGE SMALL LETTER ZHA
10500..10527  ; 0 # Lo  [40] ELBASAN LETTER A..ELBASAN LETTER KHE
10530..10563  ; 0 # Lo  [52] CAUCASIAN ALBANIAN LETTER ALT..CAUCASIAN ALBANIAN LETTER KIW
1056F         ; 0 # Po       CAUCASIAN ALBANIAN CITATION MARK
10570..1057A  ; 0 # L&  [11] VITHKUQI CAPITAL LETTER A..VITHKUQI CAPITAL LETTER GA
1057C..1058A  ; 0 # L&  [15] VITHKUQI CAPITAL LETTER HA..VITHKUQI CAPITAL LETTER RE
1058C..10592  ; 0 # L&   [7] VITHKUQI CAPITAL LETTER SE..VITHKUQI CAPITAL LETTER XE
10594..10595  ; 0 # L&   [2] VITHKUQI CAPITAL LETTER Y..VITHKUQI CAPITAL LETTER ZE
10597..105A1  ; 0 # L&  [11] VITHKUQI SMALL LETTER A..VITHKUQI SMALL LETTER GA
105A3..105B1  ; 0 # L&  [15] VITHKUQI SMALL LETTER HA..VITHKUQI SMALL LETTER RE
105B3..105B9  ; 0 # L&   [7] VITHKUQI SMALL LETTER SE..VITHKUQI SMALL LETTER XE
105BB..105BC  ; 0 # L&   [2] VITHKUQI SMALL LETTER Y..VITHKUQI SMALL LETTER ZE
10600..10736  ; 0 # Lo [311] LINEAR A SIGN AB001..LINEAR A SIGN A664
10740..10755  ; 0 # Lo  [22] LINEAR A SIGN A701 A..LINEAR A SIGN A732 JE
10760..10767  ; 0 # Lo   [8] LINEAR A SIGN A800..LINEAR A SIGN A807
10780..10785  ; 0 # Lm   [6] MODIFIER LETTER SMALL CAPITAL AA..MODIFIER LETTER SMALL B WITH HOOK
10787..107B0  ; 0 # Lm  [42] MODIFIER LETTER SMALL DZ DIGRAPH..MODIFIER LETTER SMALL V WITH RIGHT HOOK
107B2..107BA  ; 0 # Lm   [9] MODIFIER LETTER SMALL CAPITAL Y..MODIFIER LETTER SMALL S WITH CURL
10800..10805  ; 0 # Lo   [6] CYPRIOT SYLLABLE A..CYPRIOT SYLLABLE JA
10808         ; 0 # Lo       CYPRIOT SYLLABLE JO
1080A..10835  ; 0 # Lo  [44] CYPRIOT SYLLABLE KA..CYPRIOT SYLLABLE WO
10837..10838  ; 0 # Lo   [2] CYPRIOT SYLLABLE XA..CYPRIOT SYLLABLE XE
1083C         ; 0 # Lo       CYPRIOT SYLLABLE ZA
1083F..10855  ; 0 # Lo  [23] CYPRIOT SYLLABLE ZO..IMPERIAL ARAMAIC LETTER TAW
10857         ; 0 # Po       IMPERIAL ARAMAIC SECTION SIGN
10858..1085F  ; 0 # No   [8] IMPERIAL ARAMAIC NUMBER ONE..IMPERIAL ARAMAIC NUMBER TEN THOUSAND
10860..10876  ; 0 # Lo  [23] PALMYRENE LETTER ALEPH..PALMYRENE LETTER TAW
10877..10878  ; 0 # So   [2] PALMYRENE LEFT-POINTING FLEURON..PALMYRENE RIGHT-POINTING FLEURON
10879..1087F  ; 0 # No   [7] PALMYRENE NUMBER ONE..PALMYRENE NUMBER TWENTY
10880..1089E  ; 0 # Lo  [31] NABATAEAN LETTER FINAL ALEPH..NABATAEAN LETTER TAW
108A7..108AF  ; 0 # No   [9] NABATAEAN NUMBER ONE..NABATAEAN NUMBER ONE HUNDRED
108E0..108F2  ; 0 # Lo  [19] HATRAN LETTER ALEPH..HATRAN LETTER QOPH
108F4..108F5  ; 0 # Lo   [2] HATRAN LETTER SHIN..HATRAN LETTER TAW
108FB..108FF  ; 0 # No   [5] HATRAN NUMBER ONE..HATRAN NUMBER ONE HUNDRED
10900..10915  ; 0 # Lo  [22] PHOENICIAN LETTER ALF..PHOENICIAN LETTER TAU
10916..1091B  ; 0 # No   [6] PHOENICIAN NUMBER ONE..PHOENICIAN NUMBER THREE
1091F         ; 0 # Po       PHOENICIAN WORD SEPARATOR
10920..10939  ; 0 # Lo  [26] LYDIAN LETTER A..LYDIAN LETTER C
1093F         ; 0 # Po       LYDIAN TRIANGULAR MARK
10980..109B7  ; 0 # Lo  [56] MEROITIC HIEROGLYPHIC LETTER A..MEROITIC CURSIVE LETTER DA
109BC..109BD  ; 0 # No   [2] MEROITIC CURSIVE FRACTION ELEVEN TWELFTHS..MEROITIC CURSIVE FRACTION ONE HALF
109BE..109BF  ; 0 # Lo   [2] MEROITIC CURSIVE LOGOGRAM RMT..MEROITIC CURSIVE LOGOGRAM IMN
109C0..109CF  ; 0 # No  [16] MEROITIC CURSIVE NUMBER ONE..MEROITIC CURSIVE NUMBER SEVENTY
109D2..109FF  ; 0 # No  [46] MEROITIC CURSIVE NUMBER ONE HUNDRED..MEROITIC CURSIVE FRACTION TEN TWELFTHS
10A00         ; 0 # Lo       KHAROSHTHI LETTER A
10A01..10A03  ; 0 # Mn   [3] KHAROSHTHI VOWEL SIGN I..KHAROSHTHI VOWEL SIGN VOCALIC R
10A05..10A06  ; 0 # Mn   [2] KHAROSHTHI VOWEL SIGN E..KHAROSHTHI VOWEL SIGN O
10A0C         ; 0 # Mn       KHAROSHTHI VOWEL LENGTH MARK
10A0E         ; 0 # Mn       KHAROSHTHI SIGN ANUSVARA
10A10..10A13  ; 0 # Lo   [4] KHAROSHTHI LETTER KA..KHAROSHTHI LETTER GHA
10A15..10A17  ; 0 # Lo   [3] KHAROSHTHI LETTER CA..KHAROSHTHI LETTER JA
10A19..10A35  ; 0 # Lo  [29] KHAROSHTHI LETTER NYA..KHAROSHTHI LETTER VHA
10A40..10A48  ; 0 # No   [9] KHAROSHTHI DIGIT ONE..KHAROSHTHI FRACTION ONE HALF
